code,ciudad,fecha_datos,url,Fecha,Temperatura,Clima,Viento
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Sábado, 18 enero",17°/14°,Lluvia moderada a intervalos,25Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Domingo, 19 enero",17°/14°,Lluvia moderada a intervalos,20Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Lunes, 20 enero",17°/15°,Lluvia moderada a intervalos,21Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Martes, 21 enero",18°/15°,Lluvia moderada a intervalos,22Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Miércoles, 8 enero",17°/11°,Despejado,25Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Jueves, 9 enero",17°/13°,Despejado,8Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Viernes, 10 enero",16°/12°,Despejado,11Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Sábado, 11 enero",15°/12°,Llovizna,7Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Domingo, 12 enero",14°/10°,Parcialmente nublado,8Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Lunes, 13 enero",11°/8°,Soleado,12Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Martes, 14 enero",14°/7°,Parcialmente nublado,20Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Miércoles, 15 enero",14°/10°,Lluvia moderada a intervalos,19Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Jueves, 16 enero",14°/10°,Llovizna,15Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Viernes, 17 enero",14°/10°,Parcialmente nublado,18Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Sábado, 18 enero",15°/11°,Lluvia moderada a intervalos,22Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Domingo, 19 enero",16°/12°,Parcialmente nublado,15Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Lunes, 20 enero",12°/9°,Lluvia moderada a intervalos,39Km/h
BCN,Barcelona,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/barcelona?page=14,"Martes, 21 enero",8°/7°,Ligeras precipitaciones,29Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Miércoles, 8 enero",18°/11°,Cielo cubierto,11Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Jueves, 9 enero",18°/13°,Lluvia moderada a intervalos,13Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Viernes, 10 enero",20°/12°,Despejado,14Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Sábado, 11 enero",19°/12°,Parcialmente nublado,17Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Domingo, 12 enero",20°/11°,Despejado,9Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Lunes, 13 enero",13°/8°,Ligeras precipitaciones,14Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Martes, 14 enero",14°/7°,Lluvia moderada a intervalos,3Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Miércoles, 15 enero",15°/7°,Parcialmente nublado,3Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Jueves, 16 enero",16°/8°,Soleado,3Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Viernes, 17 enero",15°/10°,Cielos tormentosos en las aproximaciones,4Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Sábado, 18 enero",15°/8°,Lluvia moderada a intervalos,4Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Domingo, 19 enero",15°/10°,Lluvia moderada a intervalos,20Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Lunes, 20 enero",14°/10°,Lluvia moderada a intervalos,7Km/h
AGP,Málaga,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/malaga?page=14,"Martes, 21 enero",13°/9°,Lluvia moderada a intervalos,5Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Miércoles, 8 enero",18°/10°,Cielo cubierto,18Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Jueves, 9 enero",20°/13°,Despejado,18Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Viernes, 10 enero",21°/11°,Despejado,9Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Sábado, 11 enero",18°/12°,Nublado,18Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Domingo, 12 enero",17°/9°,Lluvia moderada a intervalos,7Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Lunes, 13 enero",12°/7°,Parcialmente nublado,13Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Martes, 14 enero",12°/6°,Cielo cubierto,17Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Miércoles, 15 enero",13°/10°,Lluvia moderada a intervalos,24Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Jueves, 16 enero",13°/10°,Ligeras precipitaciones,17Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Viernes, 17 enero",14°/10°,Ligeras precipitaciones,19Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Sábado, 18 enero",12°/9°,Ligeras lluvias,21Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Domingo, 19 enero",12°/11°,Ligeras lluvias,15Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Lunes, 20 enero",14°/9°,Lluvia moderada a intervalos,24Km/h
VLC,Valencia,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Martes, 21 enero",8°/6°,Ligeras precipitaciones,15Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Miércoles, 8 enero",17°/11°,Parcialmente nublado,8Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Jueves, 9 enero",19°/14°,Despejado,13Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Viernes, 10 enero",20°/13°,Despejado,18Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Sábado, 11 enero",18°/13°,Lluvia moderada a intervalos,13Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Domingo, 12 enero",16°/10°,Despejado,18Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Lunes, 13 enero",12°/9°,Llovizna a intervalos,14Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Martes, 14 enero",12°/8°,Cielo cubierto,18Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Miércoles, 15 enero",11°/9°,Ligeras precipitaciones,17Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Jueves, 16 enero",14°/11°,Lluvia moderada a intervalos,15Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Viernes, 17 enero",15°/10°,Parcialmente nublado,14Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Sábado, 18 enero",14°/11°,Lluvia moderada a intervalos,12Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Domingo, 19 enero",13°/12°,Lluvia moderada,20Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Lunes, 20 enero",14°/11°,Parcialmente nublado,11Km/h
ALC,Alicante,2025-01-08,https://www.tiempo3.com/europe/spain/comunidad-valenciana/alicante?page=14,"Martes, 21 enero",8°/6°,Ligeras lluvias,6Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Miércoles, 8 enero",16°/12°,Despejado,23Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Jueves, 9 enero",17°/14°,Despejado,8Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Viernes, 10 enero",17°/14°,Despejado,6Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Sábado, 11 enero",17°/14°,Nublado,9Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Domingo, 12 enero",17°/12°,Despejado,16Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Lunes, 13 enero",12°/9°,Ligeras precipitaciones,14Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Martes, 14 enero",13°/9°,Cielo cubierto,11Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Miércoles, 15 enero",14°/11°,Llovizna,12Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Jueves, 16 enero",14°/11°,Lluvia moderada a intervalos,17Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Viernes, 17 enero",13°/12°,Cielos tormentosos en las aproximaciones,19Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Sábado, 18 enero",14°/11°,Lluvia moderada a intervalos,7Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Domingo, 19 enero",12°/10°,Ligeras lluvias,7Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Lunes, 20 enero",15°/11°,Lluvia moderada a intervalos,14Km/h
LEI,Almeria,2025-01-08,https://www.tiempo3.com/europe/spain/andalucia/almeria?page=14,"Martes, 21 enero",13°/8°,Lluvia moderada a intervalos,8Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Miércoles, 8 enero",16°/14°,Parcialmente nublado,29Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Jueves, 9 enero",17°/15°,Nublado,21Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Viernes, 10 enero",17°/14°,Despejado,13Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Sábado, 11 enero",17°/13°,Llovizna,25Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Domingo, 12 enero",14°/11°,Lluvia moderada a intervalos,34Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Lunes, 13 enero",12°/11°,Lluvia moderada a intervalos,45Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Martes, 14 enero",13°/12°,Ligeras precipitaciones,42Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Miércoles, 15 enero",14°/13°,Ligeras precipitaciones,27Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Jueves, 16 enero",15°/13°,Lluvia moderada a intervalos,17Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Viernes, 17 enero",14°/13°,Ligeras precipitaciones,23Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Sábado, 18 enero",14°/12°,Parcialmente nublado,20Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Domingo, 19 enero",15°/14°,Ligeras precipitaciones,34Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Lunes, 20 enero",15°/12°,Lluvia moderada a intervalos,21Km/h
IBZ,Ibiza,2025-01-08,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Martes, 21 enero",10°/8°,Llovizna,21Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Miércoles, 8 enero",17°/11°,Cielo cubierto,15Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Jueves, 9 enero",20°/13°,Parcialmente nublado,9Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Viernes, 10 enero",19°/13°,Despejado,12Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Sábado, 11 enero",19°/14°,Parcialmente nublado,32Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Domingo, 12 enero",17°/11°,Soleado,20Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Lunes, 13 enero",13°/9°,Ligeras precipitaciones,22Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Martes, 14 enero",13°/8°,Cielo cubierto,21Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Miércoles, 15 enero",14°/10°,Llovizna,31Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Jueves, 16 enero",14°/10°,Ligeras precipitaciones,21Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Viernes, 17 enero",14°/11°,Ligeras precipitaciones,27Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Sábado, 18 enero",14°/10°,Lluvia moderada a intervalos,18Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Domingo, 19 enero",13°/11°,Ligeras precipitaciones,35Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Lunes, 20 enero",16°/12°,Cielo cubierto,7Km/h
SPC,La Palma,2025-01-08,https://www.tiempo3.com/europe/spain/catalonia/la-palma?page=14,"Martes, 21 enero",9°/7°,Ligeras precipitaciones,18Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Miércoles, 8 enero",11°/3°,Lluvia moderada a intervalos,13Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Jueves, 9 enero",15°/5°,Lluvia moderada a intervalos,5Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Viernes, 10 enero",15°/4°,Parcialmente nublado,8Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Sábado, 11 enero",14°/4°,Ligeras lluvias,10Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Domingo, 12 enero",10°/-1°,Lluvia moderada a intervalos,16Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Lunes, 13 enero",7°/-3°,Despejado,9Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Martes, 14 enero",9°/-3°,Despejado,4Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Miércoles, 15 enero",10°/-2°,Nublado,1Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Jueves, 16 enero",10°/-1°,Despejado,5Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Viernes, 17 enero",10°/0°,Despejado,3Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Sábado, 18 enero",10°/1°,Parcialmente nublado,6Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Domingo, 19 enero",13°/2°,Nublado,11Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Lunes, 20 enero",11°/1°,Despejado,3Km/h
RJL,Logroño,2025-01-08,https://www.tiempo3.com/europe/spain/la-rioja/logrono?page=14,"Martes, 21 enero",2°/0°,Fuertes nevadas,14Km/h
