code,ciudad,fecha_datos,url,Fecha,Temperatura,Clima,Viento
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Miércoles, 8 enero",15°/13°,Lluvia moderada,36Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Jueves, 9 enero",15°/12°,Lluvia moderada a intervalos,23Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Viernes, 10 enero",15°/14°,Ligeras lluvias,14Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Sábado, 11 enero",16°/12°,Lluvia moderada a intervalos,4Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Domingo, 12 enero",15°/9°,Parcialmente nublado,11Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Lunes, 13 enero",13°/5°,Despejado,14Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Martes, 14 enero",10°/3°,Despejado,7Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Miércoles, 15 enero",10°/4°,Parcialmente nublado,6Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Jueves, 16 enero",11°/5°,Despejado,4Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Viernes, 17 enero",12°/5°,Despejado,6Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Sábado, 18 enero",12°/6°,Despejado,5Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Domingo, 19 enero",12°/6°,Soleado,6Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Lunes, 20 enero",11°/7°,Parcialmente nublado,7Km/h
LCG,A Coruña,2025-01-08,https://www.tiempo3.com/europe/spain/galicia/a-coruna?page=14,"Martes, 21 enero",11°/8°,Lluvia moderada a intervalos,17Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Miércoles, 8 enero",11°/6°,Lluvia moderada a intervalos,18Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Jueves, 9 enero",13°/7°,Parcialmente nublado,9Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Viernes, 10 enero",13°/5°,Neblina,6Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Sábado, 11 enero",16°/8°,Llovizna,7Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Domingo, 12 enero",13°/6°,Despejado,10Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Lunes, 13 enero",10°/1°,Despejado,8Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Martes, 14 enero",12°/2°,Despejado,10Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Miércoles, 15 enero",13°/3°,Despejado,8Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Jueves, 16 enero",12°/4°,Despejado,12Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Viernes, 17 enero",12°/5°,Nublado,5Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Sábado, 18 enero",7°/4°,Ligeras lluvias,17Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Domingo, 19 enero",9°/6°,Lluvia moderada,10Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Lunes, 20 enero",13°/6°,Despejado,9Km/h
MAD,Madrid,2025-01-08,https://www.tiempo3.com/europe/spain/madrid?page=14,"Martes, 21 enero",6°/4°,Lluvia moderada a intervalos,9Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Miércoles, 8 enero",14°/12°,Cielo cubierto,26Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Jueves, 9 enero",11°/10°,Lluvia moderada a intervalos,5Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Viernes, 10 enero",15°/9°,Parcialmente nublado,8Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Sábado, 11 enero",13°/9°,Ligeras precipitaciones,3Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Domingo, 12 enero",9°/4°,Lluvia moderada a intervalos,6Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Lunes, 13 enero",7°/2°,Parcialmente nublado,4Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Martes, 14 enero",7°/0°,Despejado,3Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Miércoles, 15 enero",9°/1°,Despejado,3Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Jueves, 16 enero",12°/3°,Parcialmente nublado,4Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Viernes, 17 enero",13°/5°,Despejado,3Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Sábado, 18 enero",11°/5°,Soleado,5Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Domingo, 19 enero",12°/7°,Parcialmente nublado,3Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Lunes, 20 enero",9°/5°,Lluvia moderada a intervalos,3Km/h
BIO,Bilbao,2025-01-08,https://www.tiempo3.com/europe/spain/pais-vasco/bilbao?page=14,"Martes, 21 enero",7°/1°,Fuertes nevadas,7Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Miércoles, 8 enero",19°/15°,Soleado,8Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Jueves, 9 enero",20°/17°,Despejado,9Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Viernes, 10 enero",20°/17°,Despejado,8Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Sábado, 11 enero",20°/16°,Despejado,8Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Domingo, 12 enero",20°/16°,Despejado,20Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Lunes, 13 enero",19°/16°,Lluvia moderada a intervalos,24Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Martes, 14 enero",18°/15°,Lluvia moderada a intervalos,23Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Miércoles, 15 enero",18°/15°,Lluvia moderada a intervalos,21Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Jueves, 16 enero",17°/14°,Lluvia moderada a intervalos,22Km/h
LPA,Las Palmas,2025-01-08,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Viernes, 17 enero",17°/15°,Lluvia moderada a intervalos,18Km/h
