iata,ciudad,fecha,t_max,t_min,precipitacion,viento,humedad
LCG,A Coruña,6/03/2024,11.3°,7.7°,"8,8 mm",26.2 Km/h,78 %
LCG,A Coruña,7/03/2024,12°,7°,"4,1 mm",25.8 Km/h,78.5 %
LCG,A Coruña,8/03/2024,11.8°,8.3°,"6,9 mm",26.8 Km/h,80.7 %
LCG,A Coruña,9/03/2024,13°,8.2°,"6,5 mm",26.2 Km/h,79.7 %
LCG,A Coruña,10/03/2024,13.5°,8.8°,"3,4 mm",25.2 Km/h,84.5 %
LCG,A Coruña,11/03/2024,13.2°,9.7°,7 mm,21.5 Km/h,84 %
LCG,A Coruña,12/03/2024,13.3°,8.7°,"2,6 mm",23.5 Km/h,82 %
LCG,A Coruña,13/03/2024,12.7°,8.2°,"3,4 mm",23 Km/h,77.7 %
LCG,A Coruña,14/03/2024,12.8°,8.3°,"1,7 mm",18.7 Km/h,80.7 %
LCG,A Coruña,15/03/2024,13.7°,8.3°,"2,4 mm",21.2 Km/h,80.8 %
LCG,A Coruña,16/03/2024,13.2°,9°,5 mm,26.5 Km/h,80.5 %
LCG,A Coruña,17/03/2024,13.5°,9.5°,"2,9 mm",26.7 Km/h,79 %
LCG,A Coruña,18/03/2024,14°,9°,"3,3 mm",21 Km/h,79.7 %
LCG,A Coruña,19/03/2024,13.2°,8.7°,"0,6 mm",15.3 Km/h,79.2 %
LCG,A Coruña,20/03/2024,14.8°,9.3°,"1,2 mm",18.8 Km/h,77.5 %
LCG,A Coruña,21/03/2024,15.3°,9°,"0,4 mm",17.5 Km/h,77.8 %
LCG,A Coruña,22/03/2024,14.8°,9.8°,"0,8 mm",21.7 Km/h,81 %
LCG,A Coruña,23/03/2024,14.3°,9.8°,"4,7 mm",21 Km/h,79.7 %
LCG,A Coruña,24/03/2024,14.5°,8.7°,2 mm,20.3 Km/h,76.5 %
LCG,A Coruña,25/03/2024,13.8°,8.7°,"1,4 mm",23.3 Km/h,77.3 %
LCG,A Coruña,26/03/2024,13°,7.5°,"3,2 mm",25 Km/h,75.7 %
LCG,A Coruña,27/03/2024,15°,7.3°,4 mm,21.8 Km/h,72.3 %
LCG,A Coruña,28/03/2024,15°,8.8°,"3,7 mm",21.7 Km/h,71.2 %
LCG,A Coruña,29/03/2024,15.3°,9.8°,"1,7 mm",21 Km/h,75.3 %
LCG,A Coruña,30/03/2024,14°,9.2°,"1,5 mm",23.2 Km/h,75 %
LCG,A Coruña,31/03/2024,14°,8.7°,3 mm,24.7 Km/h,77.3 %
LCG,A Coruña,1/04/2024,12.8°,8.2°,"4,3 mm",23 Km/h,76.5 %
LCG,A Coruña,2/04/2024,13.3°,8.7°,"2,9 mm",24.8 Km/h,79.3 %
LCG,A Coruña,3/04/2024,14.3°,7.8°,"1,6 mm",28.5 Km/h,73.2 %
LCG,A Coruña,4/04/2024,15.2°,8.3°,"2,7 mm",27.8 Km/h,68 %
