iata,ciudad,fecha,t_max,t_min,precipitacion,viento,humedad
BIO,Bilbao,18/04/2024,15.5°,9.5°,"3,1 mm",11.7 Km/h,75 %
BIO,Bilbao,19/04/2024,15.8°,9.2°,"2,2 mm",11.3 Km/h,78.2 %
BIO,Bilbao,20/04/2024,15.5°,10°,"0,4 mm",12 Km/h,76.3 %
BIO,Bilbao,21/04/2024,16°,9.2°,"0,9 mm",14.8 Km/h,72.3 %
BIO,Bilbao,22/04/2024,15.8°,10°,"1,3 mm",12.8 Km/h,73.2 %
BIO,Bilbao,23/04/2024,16.3°,9.7°,"2,9 mm",13.3 Km/h,75.5 %
BIO,Bilbao,24/04/2024,17.8°,10°,"2,5 mm",15.7 Km/h,71.3 %
BIO,Bilbao,25/04/2024,17.7°,11.3°,"0,9 mm",11.8 Km/h,72.2 %
BIO,Bilbao,26/04/2024,17.2°,11.2°,"4,1 mm",11.7 Km/h,79.5 %
BIO,Bilbao,27/04/2024,16°,11.4°,"5,6 mm",10 Km/h,86.6 %
BIO,Bilbao,28/04/2024,15.8°,10°,"4,1 mm",8.4 Km/h,80.6 %
BIO,Bilbao,29/04/2024,16.2°,8.3°,"3,1 mm",12.3 Km/h,80 %
BIO,Bilbao,30/04/2024,16.3°,10.7°,"3,6 mm",11.5 Km/h,78.5 %
BIO,Bilbao,1/05/2024,17°,10.5°,"2,8 mm",14.7 Km/h,76.3 %
BIO,Bilbao,2/05/2024,17.3°,9.2°,"0,8 mm",11.8 Km/h,72.7 %
BIO,Bilbao,3/05/2024,19.3°,10.5°,"0,9 mm",12.5 Km/h,71.2 %
BIO,Bilbao,4/05/2024,19.8°,11.6°,"0,6 mm",15 Km/h,71.4 %
BIO,Bilbao,5/05/2024,18.3°,11.3°,"1,4 mm",13 Km/h,73.5 %
BIO,Bilbao,6/05/2024,18.8°,10.7°,"0,5 mm",10.8 Km/h,71.5 %
BIO,Bilbao,7/05/2024,20.2°,11.7°,"0,2 mm",11.7 Km/h,74.8 %
BIO,Bilbao,8/05/2024,21°,12°,"2,3 mm",12.2 Km/h,71.7 %
BIO,Bilbao,9/05/2024,20.5°,11.2°,"6,4 mm",11.5 Km/h,74.3 %
BIO,Bilbao,10/05/2024,19.8°,11.8°,"4,9 mm",13.2 Km/h,75 %
BIO,Bilbao,11/05/2024,18.7°,11.5°,4 mm,15.5 Km/h,78 %
BIO,Bilbao,12/05/2024,17.3°,10.5°,"7,5 mm",13.7 Km/h,79.7 %
BIO,Bilbao,13/05/2024,17.2°,9.8°,"9,5 mm",11.7 Km/h,82.3 %
BIO,Bilbao,14/05/2024,18°,11.3°,"5,2 mm",13 Km/h,81.2 %
BIO,Bilbao,15/05/2024,17.3°,11.8°,"4,5 mm",11.8 Km/h,78.2 %
BIO,Bilbao,16/05/2024,18.2°,11.2°,"3,3 mm",12.7 Km/h,77.5 %
BIO,Bilbao,17/05/2024,18°,11.3°,"5,4 mm",14.3 Km/h,74.7 %
BIO,Bilbao,18/05/2024,19°,10.5°,"2,9 mm",15.2 Km/h,74.5 %
BIO,Bilbao,19/05/2024,17.5°,11.2°,"5,5 mm",16.3 Km/h,80.5 %
BIO,Bilbao,20/05/2024,19.5°,11.2°,"1,3 mm",12.2 Km/h,74.3 %
BIO,Bilbao,21/05/2024,19.5°,11.2°,"1,2 mm",10.3 Km/h,74.5 %
BIO,Bilbao,22/05/2024,19.5°,12.5°,"0,9 mm",10.5 Km/h,78 %
BIO,Bilbao,23/05/2024,16.7°,11.2°,2 mm,10.2 Km/h,82.2 %
BIO,Bilbao,24/05/2024,15.8°,11.7°,"1,7 mm",14.2 Km/h,81.8 %
BIO,Bilbao,25/05/2024,17.7°,11.5°,"1,8 mm",13.3 Km/h,79.3 %
BIO,Bilbao,26/05/2024,18.5°,11.2°,"0,4 mm",11.2 Km/h,77.8 %
BIO,Bilbao,27/05/2024,20.3°,11.8°,"0,8 mm",10.7 Km/h,78.3 %
BIO,Bilbao,28/05/2024,22.2°,12.8°,"2,7 mm",12.3 Km/h,75.8 %
BIO,Bilbao,29/05/2024,21.3°,14°,"0,9 mm",11 Km/h,72.8 %
BIO,Bilbao,30/05/2024,21.7°,13.5°,"0,9 mm",11 Km/h,73.3 %
BIO,Bilbao,31/05/2024,24.2°,14.2°,"2,3 mm",10.2 Km/h,72.2 %
BIO,Bilbao,1/06/2024,25°,15.3°,7 mm,10.5 Km/h,74.3 %
BIO,Bilbao,2/06/2024,24°,15.2°,"1,3 mm",10.3 Km/h,75.5 %
BIO,Bilbao,3/06/2024,21°,14.7°,"1,2 mm",12.8 Km/h,81.2 %
BIO,Bilbao,4/06/2024,20.7°,13.5°,"6,6 mm",13.7 Km/h,81.5 %
BIO,Bilbao,5/06/2024,20.5°,12.7°,"5,6 mm",14 Km/h,76.5 %
BIO,Bilbao,6/06/2024,22°,13.7°,"2,5 mm",12.7 Km/h,76 %
BIO,Bilbao,7/06/2024,20.7°,12.7°,"2,9 mm",13.2 Km/h,75 %
BIO,Bilbao,8/06/2024,21.8°,13.8°,"2,4 mm",13.5 Km/h,74.5 %
BIO,Bilbao,9/06/2024,21.3°,14.7°,"3,6 mm",14.8 Km/h,77.7 %
BIO,Bilbao,10/06/2024,20.7°,13.5°,"1,1 mm",12.3 Km/h,74.2 %
BIO,Bilbao,11/06/2024,20°,13.3°,"5,3 mm",13.5 Km/h,78.7 %
BIO,Bilbao,12/06/2024,20.8°,12.8°,"4,4 mm",14.5 Km/h,76.5 %
BIO,Bilbao,13/06/2024,23.3°,13°,3 mm,13 Km/h,74.5 %
BIO,Bilbao,14/06/2024,23°,14.5°,"1,5 mm",12 Km/h,76.2 %
BIO,Bilbao,15/06/2024,23.7°,14°,"1,2 mm",11.2 Km/h,73.2 %
BIO,Bilbao,16/06/2024,26.8°,14.7°,"2,3 mm",12.8 Km/h,69.8 %
BIO,Bilbao,17/06/2024,25.7°,15.2°,"10,5 mm",11 Km/h,76.3 %
BIO,Bilbao,18/06/2024,25.2°,16°,"6,1 mm",13 Km/h,76.3 %
BIO,Bilbao,19/06/2024,22.2°,15.4°,"7,4 mm",11.4 Km/h,80.2 %
BIO,Bilbao,20/06/2024,21.4°,15.4°,"1,5 mm",13.6 Km/h,80 %
BIO,Bilbao,21/06/2024,21.7°,14.3°,"5,7 mm",12.8 Km/h,76.8 %
BIO,Bilbao,22/06/2024,22°,14.8°,"2,7 mm",12.7 Km/h,77.5 %
BIO,Bilbao,23/06/2024,24.3°,15.7°,"2,7 mm",9.8 Km/h,74.8 %
BIO,Bilbao,24/06/2024,25.2°,16.7°,"2,2 mm",10.8 Km/h,76 %
BIO,Bilbao,25/06/2024,23.5°,16°,"4,5 mm",11.7 Km/h,78.8 %
BIO,Bilbao,26/06/2024,22.2°,15.7°,"2,4 mm",10.8 Km/h,81.5 %
BIO,Bilbao,27/06/2024,22.3°,14.7°,"1,6 mm",11.8 Km/h,79.8 %
BIO,Bilbao,28/06/2024,23.3°,14.3°,"0,3 mm",11.8 Km/h,77 %
BIO,Bilbao,29/06/2024,20.7°,14.8°,"1,9 mm",12.7 Km/h,83.2 %
BIO,Bilbao,30/06/2024,21.2°,15°,"1,1 mm",11.2 Km/h,77 %
BIO,Bilbao,1/07/2024,21.5°,14.3°,"2,6 mm",11.8 Km/h,78.5 %
BIO,Bilbao,2/07/2024,22°,15.7°,"1,9 mm",11.2 Km/h,80.5 %
BIO,Bilbao,3/07/2024,22°,15.7°,"1,8 mm",11.2 Km/h,78.3 %
BIO,Bilbao,4/07/2024,23.5°,15.5°,"1,2 mm",11.3 Km/h,74.8 %
BIO,Bilbao,5/07/2024,26°,16.3°,"4,2 mm",10.8 Km/h,72.3 %
BIO,Bilbao,6/07/2024,20.7°,16°,"4,2 mm",11.3 Km/h,85.2 %
BIO,Bilbao,7/07/2024,24°,15.2°,"0,7 mm",11.5 Km/h,73 %
BIO,Bilbao,8/07/2024,24.5°,15.7°,"2,6 mm",12 Km/h,76.5 %
BIO,Bilbao,9/07/2024,24.7°,16.2°,"1,6 mm",13.2 Km/h,75.3 %
BIO,Bilbao,10/07/2024,25.3°,16.8°,"0,6 mm",11.2 Km/h,74.7 %
BIO,Bilbao,11/07/2024,25.7°,16.8°,"0,2 mm",12 Km/h,70.2 %
BIO,Bilbao,12/07/2024,25.7°,18°,"2,5 mm",11.8 Km/h,71.7 %
BIO,Bilbao,13/07/2024,24.8°,16.8°,"2,3 mm",13.2 Km/h,70.3 %
BIO,Bilbao,14/07/2024,26.3°,17°,"0,9 mm",12.5 Km/h,68.7 %
BIO,Bilbao,15/07/2024,24°,16.5°,"1,2 mm",13.2 Km/h,71.3 %
BIO,Bilbao,16/07/2024,24.3°,16.5°,"0,5 mm",11.7 Km/h,69 %
BIO,Bilbao,17/07/2024,26.8°,17.5°,"0,2 mm",13.2 Km/h,67.5 %
BIO,Bilbao,18/07/2024,28.2°,17.7°,"0,1 mm",13 Km/h,70.2 %
BIO,Bilbao,19/07/2024,26.3°,17.8°,"0,3 mm",12 Km/h,73.2 %
BIO,Bilbao,20/07/2024,24.7°,17.7°,"0,5 mm",11.5 Km/h,74.8 %
BIO,Bilbao,21/07/2024,25.2°,17.8°,"2,1 mm",13 Km/h,75.5 %
BIO,Bilbao,22/07/2024,26.2°,17.4°,"1,1 mm",10.4 Km/h,74.2 %
BIO,Bilbao,23/07/2024,26.2°,17.4°,"0,3 mm",12.2 Km/h,73.8 %
BIO,Bilbao,24/07/2024,24.4°,17.8°,"1,5 mm",12.6 Km/h,77 %
BIO,Bilbao,25/07/2024,24.5°,17.2°,"1,9 mm",15 Km/h,73.2 %
BIO,Bilbao,26/07/2024,23°,17.2°,"3,9 mm",12 Km/h,77.5 %
BIO,Bilbao,27/07/2024,23.8°,16.8°,"3,3 mm",12.5 Km/h,78 %
BIO,Bilbao,28/07/2024,25.3°,17.2°,"1,2 mm",12 Km/h,76.5 %
BIO,Bilbao,29/07/2024,25.2°,17.7°,"0,4 mm",12.5 Km/h,73 %
BIO,Bilbao,30/07/2024,27.2°,17.2°,"0,9 mm",14.3 Km/h,73.7 %
BIO,Bilbao,31/07/2024,25.3°,16.8°,"0,8 mm",13.2 Km/h,74.3 %
BIO,Bilbao,1/08/2024,24.3°,16.8°,"2,3 mm",12.5 Km/h,77.5 %
BIO,Bilbao,2/08/2024,24.7°,16.8°,"1,3 mm",14 Km/h,77.5 %
BIO,Bilbao,3/08/2024,24.3°,16.8°,"2,4 mm",14.3 Km/h,74.7 %
BIO,Bilbao,4/08/2024,23.8°,17.2°,"2,9 mm",13.7 Km/h,77.3 %
BIO,Bilbao,5/08/2024,25.7°,16.5°,"0,4 mm",12 Km/h,73.3 %
BIO,Bilbao,6/08/2024,25.5°,17.3°,"1,2 mm",11 Km/h,74 %
BIO,Bilbao,7/08/2024,25.8°,18.5°,"0,6 mm",13.3 Km/h,70 %
BIO,Bilbao,8/08/2024,26.3°,17.7°,"0,4 mm",12.3 Km/h,68.2 %
BIO,Bilbao,9/08/2024,28.2°,17.7°,"0,9 mm",12.8 Km/h,69 %
BIO,Bilbao,10/08/2024,26.7°,18.3°,"0,5 mm",11.5 Km/h,74.3 %
BIO,Bilbao,11/08/2024,29.5°,17.7°,"7,8 mm",11 Km/h,72 %
BIO,Bilbao,12/08/2024,24.8°,18°,"2,3 mm",13.8 Km/h,77.3 %
BIO,Bilbao,13/08/2024,23.3°,17.5°,"1,4 mm",10.5 Km/h,78.2 %
BIO,Bilbao,14/08/2024,24.7°,17°,"1,4 mm",13 Km/h,76.2 %
BIO,Bilbao,15/08/2024,23.2°,16.8°,"0,9 mm",12 Km/h,76.5 %
BIO,Bilbao,16/08/2024,23.5°,16.5°,"0,9 mm",11.8 Km/h,75.7 %
BIO,Bilbao,17/08/2024,24.7°,17.2°,"1,1 mm",14.3 Km/h,73 %
BIO,Bilbao,18/08/2024,24°,17.2°,"1,5 mm",12.3 Km/h,75.8 %
BIO,Bilbao,19/08/2024,25.5°,18°,"0,3 mm",11.5 Km/h,69 %
BIO,Bilbao,20/08/2024,26°,17.3°,"0,9 mm",12.5 Km/h,70.7 %
BIO,Bilbao,21/08/2024,23.5°,17.7°,"1,5 mm",10.8 Km/h,77.7 %
BIO,Bilbao,22/08/2024,24°,17.3°,"0,2 mm",10.5 Km/h,76.2 %
BIO,Bilbao,23/08/2024,27.4°,17.4°,"1,9 mm",13.2 Km/h,67.4 %
BIO,Bilbao,24/08/2024,26.3°,18.3°,"0,9 mm",13.7 Km/h,73.5 %
BIO,Bilbao,25/08/2024,22.5°,17.7°,"1,7 mm",11 Km/h,79.2 %
BIO,Bilbao,26/08/2024,23.8°,17.3°,"2,3 mm",11.8 Km/h,76.7 %
BIO,Bilbao,27/08/2024,24.7°,16.3°,"4,5 mm",12.8 Km/h,73.7 %
BIO,Bilbao,28/08/2024,25.2°,16.3°,"6,5 mm",13.7 Km/h,76.7 %
BIO,Bilbao,29/08/2024,21.8°,17.3°,6 mm,13 Km/h,79.8 %
BIO,Bilbao,30/08/2024,23.5°,16.8°,3 mm,11.7 Km/h,78 %
BIO,Bilbao,31/08/2024,24.5°,16.5°,"4,3 mm",12.2 Km/h,73.5 %
BIO,Bilbao,1/09/2024,23.3°,16.7°,"1,2 mm",11.8 Km/h,78.5 %
BIO,Bilbao,2/09/2024,21.5°,15.7°,"5,6 mm",11.3 Km/h,80.3 %
BIO,Bilbao,3/09/2024,23.2°,16.2°,"0,9 mm",11.5 Km/h,76.2 %
BIO,Bilbao,4/09/2024,27.7°,17°,3 mm,13.3 Km/h,68 %
BIO,Bilbao,5/09/2024,26°,16.8°,"4,2 mm",11.2 Km/h,72 %
BIO,Bilbao,6/09/2024,25.5°,17.2°,"3,4 mm",9.8 Km/h,69.7 %
BIO,Bilbao,7/09/2024,25°,17.8°,"0,7 mm",12.5 Km/h,66.7 %
BIO,Bilbao,8/09/2024,24.8°,17.2°,"0,7 mm",11.2 Km/h,70.2 %
BIO,Bilbao,9/09/2024,24.3°,16.2°,"0,7 mm",11.2 Km/h,70.7 %
BIO,Bilbao,10/09/2024,24°,16.2°,"2,8 mm",12.8 Km/h,75 %
BIO,Bilbao,11/09/2024,25.5°,16.5°,"5,9 mm",13.8 Km/h,74.5 %
BIO,Bilbao,12/09/2024,24.8°,17.5°,"4,7 mm",13.2 Km/h,75.8 %
BIO,Bilbao,13/09/2024,26.5°,17.5°,"0,4 mm",12 Km/h,65 %
BIO,Bilbao,14/09/2024,25.5°,17.7°,"0,1 mm",13 Km/h,63.7 %
BIO,Bilbao,15/09/2024,23.5°,17.5°,"2,4 mm",10.8 Km/h,71.3 %
BIO,Bilbao,16/09/2024,24°,17°,"0,9 mm",11.3 Km/h,74.7 %
BIO,Bilbao,17/09/2024,25°,16.8°,"2,1 mm",11.6 Km/h,71 %
BIO,Bilbao,18/09/2024,23°,16.3°,2 mm,13.7 Km/h,67.3 %
BIO,Bilbao,19/09/2024,23.2°,15.3°,"0,8 mm",12.2 Km/h,69.5 %
BIO,Bilbao,20/09/2024,24°,15.7°,"1,2 mm",12.7 Km/h,71.3 %
BIO,Bilbao,21/09/2024,22.8°,15.5°,"2,3 mm",14.2 Km/h,74.2 %
BIO,Bilbao,22/09/2024,21.5°,14.2°,"3,5 mm",12.5 Km/h,75.5 %
BIO,Bilbao,23/09/2024,22°,14.2°,"0,7 mm",9.7 Km/h,73.3 %
BIO,Bilbao,24/09/2024,22.5°,14.8°,"1,4 mm",13.7 Km/h,72.7 %
BIO,Bilbao,25/09/2024,21.7°,14.8°,"3,9 mm",19.2 Km/h,70.7 %
BIO,Bilbao,26/09/2024,21°,13.5°,"6,4 mm",15.5 Km/h,75.7 %
BIO,Bilbao,27/09/2024,20.3°,14.8°,"4,5 mm",17 Km/h,74.8 %
BIO,Bilbao,28/09/2024,20.2°,14.3°,"1,4 mm",12.5 Km/h,74.8 %
BIO,Bilbao,29/09/2024,21.7°,14°,"1,4 mm",11.2 Km/h,71 %
BIO,Bilbao,30/09/2024,22°,14.5°,"0,6 mm",10.5 Km/h,73.7 %
BIO,Bilbao,1/10/2024,22.2°,15°,"1,2 mm",10.8 Km/h,74.2 %
BIO,Bilbao,2/10/2024,21.8°,14.8°,"8,9 mm",17.2 Km/h,73.8 %
BIO,Bilbao,3/10/2024,18.2°,13°,"17,3 mm",17.3 Km/h,80.2 %
BIO,Bilbao,4/10/2024,19.7°,13.3°,"3,8 mm",10.7 Km/h,75.8 %
BIO,Bilbao,5/10/2024,21.3°,13.8°,2 mm,11.3 Km/h,72 %
BIO,Bilbao,6/10/2024,21.3°,15°,"0,7 mm",12 Km/h,76.3 %
BIO,Bilbao,7/10/2024,21.7°,14.8°,"3,6 mm",11 Km/h,76 %
BIO,Bilbao,8/10/2024,23°,15.3°,"0,1 mm",11.2 Km/h,66.7 %
BIO,Bilbao,9/10/2024,23.3°,14.7°,"1,1 mm",16.3 Km/h,69 %
BIO,Bilbao,10/10/2024,20.2°,13.8°,"1,5 mm",9 Km/h,72.8 %
BIO,Bilbao,11/10/2024,21°,13.7°,"1,6 mm",11.2 Km/h,70.5 %
BIO,Bilbao,12/10/2024,22.3°,14.8°,"1,2 mm",13.5 Km/h,68.8 %
BIO,Bilbao,13/10/2024,22.2°,14.7°,"2,5 mm",14.5 Km/h,69.5 %
BIO,Bilbao,14/10/2024,20°,13.3°,"7,7 mm",12.3 Km/h,78 %
BIO,Bilbao,15/10/2024,20°,13.7°,"4,6 mm",11.2 Km/h,73.5 %
BIO,Bilbao,16/10/2024,22.2°,14°,"1,5 mm",13.8 Km/h,68.3 %
BIO,Bilbao,17/10/2024,21.8°,14.2°,"8,7 mm",14 Km/h,68.5 %
BIO,Bilbao,18/10/2024,22.2°,14.7°,"0,9 mm",14.5 Km/h,66.3 %
BIO,Bilbao,19/10/2024,24°,15°,"3,3 mm",16.3 Km/h,64 %
BIO,Bilbao,20/10/2024,21.2°,14.8°,"7,2 mm",19.5 Km/h,70.3 %
BIO,Bilbao,21/10/2024,20.2°,14°,2 mm,16.5 Km/h,67.2 %
BIO,Bilbao,22/10/2024,18.8°,12.7°,"1,8 mm",14.8 Km/h,69.3 %
BIO,Bilbao,23/10/2024,19.5°,13.5°,"2,7 mm",20.7 Km/h,70.7 %
BIO,Bilbao,24/10/2024,20.5°,12.8°,"6,7 mm",17.7 Km/h,65.2 %
BIO,Bilbao,25/10/2024,19.7°,12.7°,"6,6 mm",17.8 Km/h,70 %
BIO,Bilbao,26/10/2024,19°,12.2°,"9,1 mm",15.8 Km/h,74.5 %
BIO,Bilbao,27/10/2024,19.8°,12.3°,"3,9 mm",12.7 Km/h,68.2 %
BIO,Bilbao,28/10/2024,21.5°,13.8°,"0,2 mm",12.2 Km/h,64.7 %
BIO,Bilbao,29/10/2024,21.3°,14.2°,"0,4 mm",14.7 Km/h,66.5 %
BIO,Bilbao,30/10/2024,20°,13.5°,"1,5 mm",12.2 Km/h,74 %
BIO,Bilbao,31/10/2024,20.7°,13.2°,2 mm,15.8 Km/h,72.3 %
BIO,Bilbao,1/11/2024,20°,14°,3 mm,16.3 Km/h,75.3 %
BIO,Bilbao,2/11/2024,18.8°,11.8°,"6,4 mm",18.3 Km/h,75.8 %
BIO,Bilbao,3/11/2024,15.7°,11.8°,"6,8 mm",23 Km/h,74.5 %
BIO,Bilbao,4/11/2024,15.7°,10.3°,4 mm,20.3 Km/h,74.3 %
BIO,Bilbao,5/11/2024,15.8°,10.7°,"4,7 mm",16.2 Km/h,73.2 %
BIO,Bilbao,6/11/2024,17°,11.3°,"3,1 mm",16.8 Km/h,72.3 %
BIO,Bilbao,7/11/2024,16.7°,11.3°,"3,8 mm",15.8 Km/h,72.7 %
BIO,Bilbao,8/11/2024,16.8°,12°,6 mm,19 Km/h,71.3 %
BIO,Bilbao,9/11/2024,16°,10.8°,"5,2 mm",14.5 Km/h,76 %
BIO,Bilbao,10/11/2024,15.2°,10.2°,"6,3 mm",10 Km/h,78.5 %
BIO,Bilbao,11/11/2024,17.2°,11.2°,"3,8 mm",14.5 Km/h,75.5 %
BIO,Bilbao,12/11/2024,17.5°,11.3°,"4,8 mm",13 Km/h,74.3 %
BIO,Bilbao,13/11/2024,16.8°,11.2°,"2,2 mm",13.7 Km/h,74.5 %
BIO,Bilbao,14/11/2024,16°,10.8°,"4,8 mm",14.8 Km/h,75 %
BIO,Bilbao,15/11/2024,16.2°,11.2°,"4,4 mm",16.8 Km/h,77.5 %
BIO,Bilbao,16/11/2024,15.2°,9.7°,"3,9 mm",13.2 Km/h,79.8 %
BIO,Bilbao,17/11/2024,14.5°,9.5°,"3,9 mm",11.2 Km/h,79.7 %
BIO,Bilbao,18/11/2024,16.5°,11°,"4,6 mm",11.7 Km/h,75.3 %
BIO,Bilbao,19/11/2024,15°,9°,"1,8 mm",12.2 Km/h,77.5 %
BIO,Bilbao,20/11/2024,13.7°,9.2°,"5,1 mm",16.8 Km/h,76.8 %
BIO,Bilbao,21/11/2024,13.7°,9.7°,"6,9 mm",19.5 Km/h,76 %
BIO,Bilbao,22/11/2024,12.2°,8°,"3,9 mm",23.8 Km/h,73 %
BIO,Bilbao,23/11/2024,13.2°,9°,5 mm,17.3 Km/h,75.5 %
BIO,Bilbao,24/11/2024,14°,9.8°,"2,3 mm",15 Km/h,74.8 %
BIO,Bilbao,25/11/2024,14.2°,9.7°,"8,3 mm",18 Km/h,80 %
BIO,Bilbao,26/11/2024,14°,8.7°,1 mm,14.3 Km/h,75.8 %
BIO,Bilbao,27/11/2024,14.2°,9.2°,"8,5 mm",15.2 Km/h,73.3 %
BIO,Bilbao,28/11/2024,13.8°,10.2°,"9,6 mm",18.3 Km/h,79.2 %
BIO,Bilbao,29/11/2024,15.7°,10.2°,"3,3 mm",17 Km/h,78.8 %
BIO,Bilbao,30/11/2024,14.7°,9.8°,"10,2 mm",10 Km/h,82.2 %
BIO,Bilbao,1/12/2024,13.2°,8.3°,"4,6 mm",11.8 Km/h,79.7 %
BIO,Bilbao,2/12/2024,10.2°,7.5°,"7,4 mm",15.7 Km/h,80 %
BIO,Bilbao,3/12/2024,11.2°,6.8°,2 mm,15.5 Km/h,78.5 %
BIO,Bilbao,4/12/2024,11°,6.8°,"8,4 mm",19 Km/h,78.2 %
BIO,Bilbao,5/12/2024,11.7°,6.7°,"6,1 mm",16.5 Km/h,78.7 %
BIO,Bilbao,6/12/2024,11.8°,6.8°,"10,2 mm",13.3 Km/h,82.2 %
BIO,Bilbao,7/12/2024,12.8°,8.5°,"15,6 mm",20 Km/h,82.5 %
BIO,Bilbao,8/12/2024,9.8°,8.2°,"15,8 mm",22.3 Km/h,83 %
BIO,Bilbao,9/12/2024,11.7°,8.2°,"9,9 mm",19 Km/h,84.8 %
BIO,Bilbao,10/12/2024,11.8°,7.8°,"5,7 mm",17.2 Km/h,83.2 %
BIO,Bilbao,11/12/2024,11.5°,7.8°,"7,8 mm",15.5 Km/h,82.3 %
BIO,Bilbao,12/12/2024,12.3°,7.8°,"8,6 mm",15.5 Km/h,82.7 %
BIO,Bilbao,13/12/2024,13.3°,9.2°,"5,1 mm",19.2 Km/h,80.8 %
BIO,Bilbao,14/12/2024,14.3°,9.7°,"1,8 mm",17.2 Km/h,76.2 %
BIO,Bilbao,15/12/2024,13.3°,9.5°,"1,8 mm",14.7 Km/h,77.2 %
BIO,Bilbao,16/12/2024,13.3°,8.3°,"1,7 mm",11.5 Km/h,76.7 %
BIO,Bilbao,17/12/2024,13.2°,6.8°,"4,2 mm",11 Km/h,73.3 %
BIO,Bilbao,18/12/2024,15°,7°,0 mm,19.2 Km/h,66 %
BIO,Bilbao,19/12/2024,13.5°,8.3°,"4,8 mm",17.2 Km/h,74.7 %
BIO,Bilbao,20/12/2024,13.2°,9°,"6,4 mm",17 Km/h,76.7 %
BIO,Bilbao,21/12/2024,14.8°,9.3°,"2,3 mm",15.2 Km/h,79.7 %
BIO,Bilbao,22/12/2024,15.8°,10.5°,"2,9 mm",20.2 Km/h,79.3 %
BIO,Bilbao,23/12/2024,14°,10.2°,"1,7 mm",19.5 Km/h,75.3 %
BIO,Bilbao,24/12/2024,14°,9.8°,"1,5 mm",15.7 Km/h,78 %
BIO,Bilbao,25/12/2024,13.8°,8.3°,"2,2 mm",14 Km/h,73.8 %
BIO,Bilbao,26/12/2024,12.5°,8°,1 mm,12.5 Km/h,76.3 %
BIO,Bilbao,27/12/2024,14.3°,7.8°,1 mm,15.2 Km/h,72.2 %
BIO,Bilbao,28/12/2024,13.8°,8.5°,"5,1 mm",15.3 Km/h,72 %
BIO,Bilbao,29/12/2024,13.5°,8.5°,4 mm,13 Km/h,76.5 %
BIO,Bilbao,30/12/2024,14.7°,7.8°,"3,3 mm",16.5 Km/h,71.5 %
BIO,Bilbao,31/12/2024,15°,8.6°,"5,3 mm",18.4 Km/h,67.4 %
LPA,Las Palmas,1/01/2024,19.6°,16.8°,"0,2 mm",17.6 Km/h,59.8 %
LPA,Las Palmas,2/01/2024,19.8°,16.6°,"0,2 mm",17 Km/h,57 %
LPA,Las Palmas,3/01/2024,19.2°,14.6°,0 mm,18.4 Km/h,61.8 %
LPA,Las Palmas,4/01/2024,19.6°,15.6°,0 mm,17.6 Km/h,68.4 %
LPA,Las Palmas,5/01/2024,19°,16.6°,"0,3 mm",19.8 Km/h,74 %
LPA,Las Palmas,6/01/2024,18.8°,15.8°,"0,4 mm",23.6 Km/h,73.4 %
LPA,Las Palmas,7/01/2024,18.4°,15.2°,1 mm,23 Km/h,74 %
LPA,Las Palmas,8/01/2024,19.6°,15.4°,"2,3 mm",24 Km/h,72.2 %
LPA,Las Palmas,9/01/2024,18.6°,15°,"1,1 mm",24.2 Km/h,68.4 %
LPA,Las Palmas,10/01/2024,18.4°,15.4°,1 mm,22.4 Km/h,69 %
LPA,Las Palmas,11/01/2024,18.2°,14.8°,"0,4 mm",22.6 Km/h,65 %
LPA,Las Palmas,12/01/2024,18.8°,15.4°,"0,7 mm",21 Km/h,64 %
LPA,Las Palmas,13/01/2024,19.6°,15.4°,"0,9 mm",22 Km/h,62 %
LPA,Las Palmas,14/01/2024,20°,16.4°,"0,1 mm",19.2 Km/h,59.6 %
LPA,Las Palmas,15/01/2024,19°,16.2°,"0,2 mm",22.6 Km/h,60.2 %
LPA,Las Palmas,16/01/2024,19°,16°,"0,1 mm",21.5 Km/h,56.3 %
LPA,Las Palmas,17/01/2024,17.8°,14.8°,2 mm,21.6 Km/h,71.4 %
LPA,Las Palmas,18/01/2024,19°,15°,"0,3 mm",19.8 Km/h,68.8 %
LPA,Las Palmas,19/01/2024,18.6°,15.4°,"0,3 mm",24.4 Km/h,64.2 %
LPA,Las Palmas,20/01/2024,18.6°,15.4°,"0,3 mm",24.6 Km/h,68 %
LPA,Las Palmas,21/01/2024,17.8°,15°,"0,3 mm",21.8 Km/h,69 %
LPA,Las Palmas,22/01/2024,18.8°,15.8°,"0,5 mm",17.2 Km/h,73.6 %
LPA,Las Palmas,23/01/2024,18.6°,15.6°,"0,3 mm",18.2 Km/h,70.8 %
LPA,Las Palmas,24/01/2024,18.2°,15.6°,0 mm,19.4 Km/h,69 %
LPA,Las Palmas,25/01/2024,17.8°,15.6°,"0,2 mm",19.6 Km/h,71.2 %
LPA,Las Palmas,26/01/2024,18.4°,15°,"0,2 mm",21.6 Km/h,68.2 %
LPA,Las Palmas,27/01/2024,18.6°,16°,"0,2 mm",20.6 Km/h,67.4 %
LPA,Las Palmas,28/01/2024,19.8°,16.2°,"0,1 mm",18.6 Km/h,61.8 %
LPA,Las Palmas,29/01/2024,20.4°,16.6°,"0,3 mm",16.4 Km/h,60.2 %
LPA,Las Palmas,30/01/2024,19.8°,16.2°,"0,1 mm",16.6 Km/h,62.6 %
