code,ciudad,fecha_datos,fecha_prevision,t_max,t_min,Clima,Viento
LCG,A Coruña,2025-01-07,2025-01-7,15°,8°,Lluvia moderada,31Km/h
LCG,A Coruña,2025-01-07,2025-01-8,14°,12°,Lluvia moderada,31Km/h
LCG,A Coruña,2025-01-07,2025-01-9,13°,9°,Ligeras precipitaciones,14Km/h
LCG,A Coruña,2025-01-07,2025-01-10,11°,7°,Llovizna,8Km/h
LCG,A Coruña,2025-01-07,2025-01-11,14°,9°,Despejado,7Km/h
LCG,A Coruña,2025-01-07,2025-01-12,14°,8°,Despejado,5Km/h
LCG,A Coruña,2025-01-07,2025-01-13,12°,9°,Ligeras precipitaciones,18Km/h
LCG,A Coruña,2025-01-07,2025-01-14,11°,8°,Lluvia moderada a intervalos,14Km/h
LCG,A Coruña,2025-01-07,2025-01-15,12°,7°,Cielo cubierto,4Km/h
LCG,A Coruña,2025-01-07,2025-01-16,12°,7°,Parcialmente nublado,7Km/h
LCG,A Coruña,2025-01-07,2025-01-17,12°,6°,Parcialmente nublado,8Km/h
LCG,A Coruña,2025-01-07,2025-01-18,12°,6°,Despejado,9Km/h
LCG,A Coruña,2025-01-07,2025-01-19,6°,6°,Parcialmente nublado,9Km/h
MAD,Madrid,2025-01-07,2025-01-7,7°,2°,Cielo cubierto,15Km/h
MAD,Madrid,2025-01-07,2025-01-8,11°,6°,Llovizna,19Km/h
MAD,Madrid,2025-01-07,2025-01-9,10°,7°,Lluvia moderada a intervalos,18Km/h
MAD,Madrid,2025-01-07,2025-01-10,12°,7°,Despejado,5Km/h
MAD,Madrid,2025-01-07,2025-01-11,13°,5°,Parcialmente nublado,10Km/h
MAD,Madrid,2025-01-07,2025-01-12,11°,3°,Parcialmente nublado,5Km/h
MAD,Madrid,2025-01-07,2025-01-13,7°,4°,Llovizna,9Km/h
MAD,Madrid,2025-01-07,2025-01-14,10°,2°,Parcialmente nublado,4Km/h
MAD,Madrid,2025-01-07,2025-01-15,10°,3°,Parcialmente nublado,7Km/h
MAD,Madrid,2025-01-07,2025-01-16,10°,6°,Lluvia moderada a intervalos,9Km/h
MAD,Madrid,2025-01-07,2025-01-17,8°,7°,Ligeras precipitaciones,9Km/h
MAD,Madrid,2025-01-07,2025-01-18,10°,6°,Lluvia moderada a intervalos,6Km/h
MAD,Madrid,2025-01-07,2025-01-19,3°,0°,Parcialmente nublado,10Km/h
BIO,Bilbao,2025-01-07,2025-01-7,13°,4°,Lluvia moderada a intervalos,14Km/h
BIO,Bilbao,2025-01-07,2025-01-8,14°,13°,Nublado,24Km/h
BIO,Bilbao,2025-01-07,2025-01-9,14°,9°,Lluvia moderada a intervalos,12Km/h
BIO,Bilbao,2025-01-07,2025-01-10,8°,6°,Lluvia moderada a intervalos,4Km/h
BIO,Bilbao,2025-01-07,2025-01-11,8°,4°,Nublado,3Km/h
BIO,Bilbao,2025-01-07,2025-01-12,7°,3°,Despejado,3Km/h
BIO,Bilbao,2025-01-07,2025-01-13,6°,2°,Llovizna,2Km/h
BIO,Bilbao,2025-01-07,2025-01-14,7°,2°,Cielo cubierto,3Km/h
BIO,Bilbao,2025-01-07,2025-01-15,11°,2°,Soleado,8Km/h
BIO,Bilbao,2025-01-07,2025-01-16,12°,4°,Despejado,8Km/h
BIO,Bilbao,2025-01-07,2025-01-17,8°,6°,Lluvia moderada a intervalos,6Km/h
BIO,Bilbao,2025-01-07,2025-01-18,10°,6°,Lluvia moderada a intervalos,3Km/h
BIO,Bilbao,2025-01-07,2025-01-19,6°,5°,Parcialmente nublado,4Km/h
LPA,Las Palmas,2025-01-07,2025-01-7,19°,15°,Parcialmente nublado,4Km/h
LPA,Las Palmas,2025-01-07,2025-01-8,20°,16°,Parcialmente nublado,11Km/h
LPA,Las Palmas,2025-01-07,2025-01-9,20°,16°,Despejado,15Km/h
LPA,Las Palmas,2025-01-07,2025-01-10,19°,16°,Lluvia moderada a intervalos,22Km/h
LPA,Las Palmas,2025-01-07,2025-01-11,19°,16°,Lluvia moderada a intervalos,27Km/h
LPA,Las Palmas,2025-01-07,2025-01-12,19°,16°,Lluvia moderada a intervalos,26Km/h
LPA,Las Palmas,2025-01-07,2025-01-13,18°,15°,Cielo cubierto,28Km/h
LPA,Las Palmas,2025-01-07,2025-01-14,18°,16°,Ligeras precipitaciones,25Km/h
LPA,Las Palmas,2025-01-07,2025-01-15,17°,14°,Lluvia moderada a intervalos,8Km/h
LPA,Las Palmas,2025-01-07,2025-01-16,17°,15°,Lluvia moderada a intervalos,12Km/h
LPA,Las Palmas,2025-01-07,2025-01-17,18°,15°,Despejado,24Km/h
LPA,Las Palmas,2025-01-07,2025-01-18,18°,15°,Lluvia moderada a intervalos,21Km/h
LPA,Las Palmas,2025-01-07,2025-01-19,15°,15°,Parcialmente nublado,22Km/h
BCN,Barcelona,2025-01-07,2025-01-7,14°,10°,Nublado,23Km/h
BCN,Barcelona,2025-01-07,2025-01-8,16°,11°,Despejado,20Km/h
BCN,Barcelona,2025-01-07,2025-01-9,16°,13°,Despejado,19Km/h
BCN,Barcelona,2025-01-07,2025-01-10,13°,11°,Parcialmente nublado,14Km/h
BCN,Barcelona,2025-01-07,2025-01-11,12°,8°,Lluvia moderada a intervalos,13Km/h
BCN,Barcelona,2025-01-07,2025-01-12,10°,5°,Nublado,4Km/h
BCN,Barcelona,2025-01-07,2025-01-13,12°,6°,Lluvia moderada a intervalos,23Km/h
BCN,Barcelona,2025-01-07,2025-01-14,13°,11°,Lluvia moderada a intervalos,27Km/h
BCN,Barcelona,2025-01-07,2025-01-15,12°,11°,Cielos tormentosos en las aproximaciones,17Km/h
BCN,Barcelona,2025-01-07,2025-01-16,12°,11°,Ligeras precipitaciones,18Km/h
BCN,Barcelona,2025-01-07,2025-01-17,14°,11°,Llovizna,17Km/h
BCN,Barcelona,2025-01-07,2025-01-18,14°,12°,Ligeras precipitaciones,9Km/h
BCN,Barcelona,2025-01-07,2025-01-19,11°,11°,Parcialmente nublado,9Km/h
AGP,Málaga,2025-01-07,2025-01-7,17°,8°,Despejado,10Km/h
AGP,Málaga,2025-01-07,2025-01-8,18°,11°,Cielo cubierto,6Km/h
AGP,Málaga,2025-01-07,2025-01-9,18°,13°,Lluvia moderada a intervalos,11Km/h
AGP,Málaga,2025-01-07,2025-01-10,18°,12°,Parcialmente nublado,15Km/h
AGP,Málaga,2025-01-07,2025-01-11,19°,10°,Cielo cubierto,17Km/h
AGP,Málaga,2025-01-07,2025-01-12,13°,8°,Lluvia moderada a intervalos,3Km/h
AGP,Málaga,2025-01-07,2025-01-13,12°,7°,Nublado,3Km/h
AGP,Málaga,2025-01-07,2025-01-14,13°,8°,Lluvia moderada a intervalos,16Km/h
AGP,Málaga,2025-01-07,2025-01-15,12°,9°,Ligeras precipitaciones,6Km/h
AGP,Málaga,2025-01-07,2025-01-16,14°,11°,Ligeras precipitaciones,12Km/h
AGP,Málaga,2025-01-07,2025-01-17,15°,12°,Lluvia moderada a intervalos,2Km/h
AGP,Málaga,2025-01-07,2025-01-18,17°,11°,Cielo cubierto,5Km/h
AGP,Málaga,2025-01-07,2025-01-19,11°,11°,Parcialmente nublado,6Km/h
VLC,Valencia,2025-01-07,2025-01-7,15°,8°,Parcialmente nublado,26Km/h
VLC,Valencia,2025-01-07,2025-01-8,18°,11°,Despejado,12Km/h
VLC,Valencia,2025-01-07,2025-01-9,17°,13°,Nublado,28Km/h
VLC,Valencia,2025-01-07,2025-01-10,17°,10°,Parcialmente nublado,7Km/h
VLC,Valencia,2025-01-07,2025-01-11,15°,8°,Parcialmente nublado,17Km/h
VLC,Valencia,2025-01-07,2025-01-12,11°,4°,Cielo cubierto,4Km/h
VLC,Valencia,2025-01-07,2025-01-13,11°,4°,Parcialmente nublado,8Km/h
VLC,Valencia,2025-01-07,2025-01-14,13°,9°,Lluvia moderada a intervalos,20Km/h
VLC,Valencia,2025-01-07,2025-01-15,13°,10°,Lluvia moderada a intervalos,15Km/h
VLC,Valencia,2025-01-07,2025-01-16,12°,10°,Ligeras precipitaciones,8Km/h
VLC,Valencia,2025-01-07,2025-01-17,14°,10°,Lluvia moderada a intervalos,12Km/h
VLC,Valencia,2025-01-07,2025-01-18,16°,11°,Ligeras precipitaciones,9Km/h
VLC,Valencia,2025-01-07,2025-01-19,8°,8°,Parcialmente nublado,9Km/h
ALC,Alicante,2025-01-07,2025-01-7,16°,9°,Soleado,8Km/h
ALC,Alicante,2025-01-07,2025-01-8,17°,12°,Cielo cubierto,6Km/h
ALC,Alicante,2025-01-07,2025-01-9,18°,14°,Lluvia moderada a intervalos,23Km/h
ALC,Alicante,2025-01-07,2025-01-10,17°,11°,Despejado,6Km/h
ALC,Alicante,2025-01-07,2025-01-11,16°,9°,Parcialmente nublado,17Km/h
ALC,Alicante,2025-01-07,2025-01-12,12°,7°,Parcialmente nublado,4Km/h
ALC,Alicante,2025-01-07,2025-01-13,11°,7°,Parcialmente nublado,4Km/h
ALC,Alicante,2025-01-07,2025-01-14,11°,9°,Lluvia moderada a intervalos,10Km/h
ALC,Alicante,2025-01-07,2025-01-15,13°,9°,Llovizna a intervalos,11Km/h
ALC,Alicante,2025-01-07,2025-01-16,15°,11°,Lluvia moderada a intervalos,11Km/h
ALC,Alicante,2025-01-07,2025-01-17,15°,11°,Cielo cubierto,8Km/h
ALC,Alicante,2025-01-07,2025-01-18,16°,12°,Lluvia moderada a intervalos,6Km/h
ALC,Alicante,2025-01-07,2025-01-19,11°,11°,Parcialmente nublado,13Km/h
LEI,Almeria,2025-01-07,2025-01-7,15°,11°,Soleado,6Km/h
LEI,Almeria,2025-01-07,2025-01-8,17°,13°,Cielo cubierto,31Km/h
LEI,Almeria,2025-01-07,2025-01-9,17°,13°,Lluvia moderada a intervalos,10Km/h
LEI,Almeria,2025-01-07,2025-01-10,17°,13°,Despejado,6Km/h
LEI,Almeria,2025-01-07,2025-01-11,16°,12°,Cielo cubierto,8Km/h
LEI,Almeria,2025-01-07,2025-01-12,12°,9°,Soleado,3Km/h
LEI,Almeria,2025-01-07,2025-01-13,11°,8°,Cielo cubierto,7Km/h
LEI,Almeria,2025-01-07,2025-01-14,13°,8°,Parcialmente nublado,18Km/h
LEI,Almeria,2025-01-07,2025-01-15,12°,10°,Lluvia moderada a intervalos,14Km/h
LEI,Almeria,2025-01-07,2025-01-16,14°,11°,Nublado,12Km/h
LEI,Almeria,2025-01-07,2025-01-17,15°,12°,Cielo cubierto,7Km/h
LEI,Almeria,2025-01-07,2025-01-18,15°,12°,Soleado,6Km/h
LEI,Almeria,2025-01-07,2025-01-19,12°,12°,Parcialmente nublado,14Km/h
IBZ,Ibiza,2025-01-07,2025-01-7,14°,12°,Despejado,42Km/h
IBZ,Ibiza,2025-01-07,2025-01-8,16°,15°,Nublado,24Km/h
IBZ,Ibiza,2025-01-07,2025-01-9,16°,15°,Parcialmente nublado,37Km/h
IBZ,Ibiza,2025-01-07,2025-01-10,15°,12°,Despejado,21Km/h
IBZ,Ibiza,2025-01-07,2025-01-11,14°,10°,Lluvia moderada a intervalos,26Km/h
IBZ,Ibiza,2025-01-07,2025-01-12,11°,9°,Lluvia moderada a intervalos,18Km/h
IBZ,Ibiza,2025-01-07,2025-01-13,11°,10°,Llovizna,33Km/h
IBZ,Ibiza,2025-01-07,2025-01-14,13°,11°,Lluvia moderada a intervalos,23Km/h
IBZ,Ibiza,2025-01-07,2025-01-15,14°,11°,Lluvia moderada a intervalos,18Km/h
IBZ,Ibiza,2025-01-07,2025-01-16,16°,13°,Lluvia moderada a intervalos,12Km/h
IBZ,Ibiza,2025-01-07,2025-01-17,16°,14°,Cielo cubierto,12Km/h
IBZ,Ibiza,2025-01-07,2025-01-18,16°,13°,Lluvia moderada a intervalos,11Km/h
IBZ,Ibiza,2025-01-07,2025-01-19,12°,12°,Parcialmente nublado,14Km/h
SPC,La Palma,2025-01-07,2025-01-7,16°,10°,Despejado,18Km/h
SPC,La Palma,2025-01-07,2025-01-8,17°,12°,Cielo cubierto,14Km/h
